CustomerID,Name,Email,Phone,Address,Gender,CustomerSegment,FavoriteCategory,Age,TotalSpend,NumberOfPurchases,SupportTickets,IsChurned,LastLoginDate
C032,Howard Davis,jennifercarr@yahoo.com,622-653-2275,24795 Veronica Island Suite 653,Male,Standard,Fashion,41,794.4,30,0,1,2025-04-01
C033,Christopher Goodman,morganlinda@byrd-craig.com,720.392.6197x12877,26538 Amanda Plain,Female,Basic,Sports,48,535.74,1,0,0,2025-04-12
C034,Carla Moore,samanthabrown@maxwell.org,240-454-1457x950,408 Annette Manors Suite 888,Female,Basic,Fashion,28,407.14,27,0,0,2025-04-27
C035,Sarah Wallace,brandon27@gmail.com,(533)516-9179x6593,6433 Bishop Skyway Suite 309,Male,Basic,Home,57,1737.07,5,1,0,2025-03-20
C036,Jennifer Harris,jmorris@hotmail.com,+1-384-257-1196x70993,596 Valentine Harbors,Male,Basic,Electronics,56,494.12,18,4,0,2025-03-07
C037,Jeffrey Taylor,john14@fischer.com,374.159.0870x88472,5829 Harvey Divide,Female,Standard,Fashion,19,737.81,7,0,0,2025-03-07
C038,Dylan Rodriguez,fbrock@lloyd.com,743-776-2021x93017,98338 Samantha Harbors,Female,Standard,Fashion,36,2664.96,3,0,0,2025-03-23
C039,Kristin Walsh,melissalarson@mendez.org,(519)194-8168x44389,3869 Esparza Parkways Suite 881,Male,Premium,Sports,20,491.24,9,4,1,2025-03-28
C040,Brian West,aandrews@hotmail.com,+1-895-564-5443,81984 Mitchell Prairie Suite 724,Female,Standard,Home,58,1351.74,20,3,0,2025-03-20
C041,David Johnson,gwalker@caldwell.org,(033)024-7011,70801 Gill Station,Female,Basic,Home,21,1639.04,24,2,0,2025-03-16
C042,Lisa Bell,johnmiller@martinez.net,084-410-3901,88171 Ethan Field,Female,Standard,Home,58,1506.67,5,1,1,2025-04-19
C043,John May,anna88@gomez.com,(856)784-9192x500,21251 Chapman Overpass Suite 230,Male,Basic,Electronics,61,2025.95,9,1,0,2025-04-29
C044,Lucas Gutierrez,salinasbrandon@yahoo.com,304.490.3196x864,3585 Brown Grove Suite 639,Male,Premium,Sports,65,1191.1,24,1,0,2025-04-25
C045,Sarah Gonzalez,mccoysarah@hotmail.com,2226681525,83607 Becker Walk,Male,Standard,Sports,25,734.9,2,1,1,2025-03-29
C046,Paula Simmons,bridgetadams@gmail.com,(064)965-1453x6213,94559 Austin Views Apt. 101,Male,Premium,Sports,35,2239.39,13,1,0,2025-03-13
C047,Michael Gomez,sarahharrison@yahoo.com,296.539.4418x9944,535 Robin Forks,Female,Standard,Sports,26,1488.16,28,2,1,2025-04-22
C048,Julia Mason,cynthiakim@campbell.com,(089)227-8236,6375 Jones Hills,Male,Premium,Fashion,21,826.33,1,4,1,2025-04-01
C049,Lauren Robinson,ovargas@villa.net,(818)272-7174x92197,5005 Munoz Square,Female,Standard,Home,43,1377.47,13,5,1,2025-04-02
C050,Charles Brooks,matthew72@cameron.com,001-110-332-5653,8521 Roy Valley,Female,Basic,Fashion,26,2610.56,29,1,0,2025-03-02
C051,Stephanie Mcfarland,fernandezpatrick@gmail.com,370-762-4925,85122 Alex Glens,Male,Basic,Home,32,2238.84,26,3,0,2025-03-24
C052,Tammy Reynolds,djoseph@yahoo.com,4672156655,3102 Martin Bridge,Female,Basic,Sports,63,211.89,7,5,0,2025-03-04
C053,Samuel Thompson,james16@tucker.com,500-604-5939x029,2218 Butler Spurs,Male,Basic,Home,34,2447.77,28,5,0,2025-04-09
C054,Christopher Oneill,troy58@hotmail.com,001-599-466-0263x932,25650 Salinas Knolls,Female,Standard,Electronics,37,1583.4,10,2,0,2025-03-13
C055,Julia Arnold,brandon93@nelson-jenkins.com,(864)868-8275x1082,7440 Debbie Keys,Male,Standard,Sports,37,587.24,20,1,1,2025-03-31
C056,Derek Hall,codymeyer@hotmail.com,545.203.3554x378,2332 Dixon Roads Apt. 036,Male,Standard,Sports,50,2018.9,17,5,1,2025-04-07
C057,Matthew Salazar,eric18@yahoo.com,154.041.3216,30770 Harvey Brook,Male,Standard,Electronics,54,432.05,26,0,1,2025-03-06
C058,Laura Frank,clinedavid@hotmail.com,684-231-0255x0132,3144 York Prairie,Male,Premium,Electronics,31,1340.2,19,4,1,2025-04-13
C059,Daniel Mccoy,brian73@lane-boyer.net,099.959.2330x46106,9713 Brandon Drive,Male,Basic,Fashion,51,1040.0,8,4,0,2025-03-05
C060,Christopher West,mturner@thompson-lewis.com,1313496939,7935 Carter Track Suite 822,Female,Basic,Home,32,932.9,9,3,0,2025-03-06
C061,Zachary Lee,hjones@gmail.com,237.406.2427x73633,09342 Brandon Corner,Female,Premium,Electronics,52,414.99,15,2,1,2025-04-29
C062,Cindy Goodwin,daryl82@yahoo.com,405.845.5032x3471,18402 Amy Curve Suite 092,Male,Standard,Sports,23,1724.94,26,0,0,2025-03-10
C063,Joanna Thompson,paige89@mills.com,(491)519-8405x38011,3800 Jordan Square Apt. 426,Female,Standard,Sports,21,129.55,5,0,1,2025-04-09
C064,Erica Abbott,gina70@harrison.net,+1-993-732-7777x8368,08264 White Street Apt. 479,Female,Standard,Home,36,1866.62,8,5,1,2025-03-08
C065,Madison Miller,gonzalezlinda@gmail.com,(532)495-1542x03028,0309 Thomas Springs Apt. 154,Male,Basic,Electronics,44,1623.18,16,5,0,2025-04-08
C066,Dorothy Byrd,robert44@clark.com,(179)887-1604,35967 Regina Hollow Apt. 477,Female,Standard,Sports,42,797.02,15,5,0,2025-03-19
C067,Gregory Trevino,karen29@rodriguez.com,+1-865-093-1940x410,3982 Denise Park,Female,Basic,Electronics,37,2963.71,22,0,0,2025-03-24
C068,Timothy Fernandez,roy63@hotmail.com,1733667998,083 Schultz Lodge,Male,Basic,Sports,54,203.98,15,4,1,2025-03-09
C069,Stephen Brooks,gerickson@roberson.com,001-092-946-1200x70967,419 Thomas Lake,Female,Premium,Sports,29,2101.38,25,3,0,2025-03-20
C070,Mercedes Marquez,sharon62@melton.biz,(341)192-1032,3573 Jennifer Rapid Apt. 075,Female,Standard,Sports,50,2767.2,21,4,0,2025-03-07
C071,Jesse Jones,anthonymorgan@hotmail.com,892-752-3427x4641,7863 Porter Forges Suite 403,Female,Standard,Electronics,65,2390.92,25,5,0,2025-03-04
C072,Miss Penny Houston,jade97@gmail.com,6776959207,47596 Vasquez Loop Apt. 706,Male,Basic,Electronics,54,1285.48,14,0,0,2025-04-07
C073,Stephanie Carroll,taylor65@rivera-sloan.com,138-894-0020x8961,317 Moore Forges Apt. 497,Male,Standard,Fashion,21,2125.76,27,5,1,2025-03-03
C074,Jose Griffith,jeffery14@diaz.com,012.136.7265,494 Johnson Lakes,Female,Standard,Electronics,37,2984.79,25,3,0,2025-03-18
C075,Kevin Levy,mcneiljohn@gmail.com,199.145.6968,526 Castro Well Apt. 568,Female,Basic,Electronics,61,649.61,21,5,1,2025-04-06
C076,Brittney Andrews,stephanie54@valdez.com,831.775.2481x41616,7002 Fuller Overpass Apt. 373,Female,Basic,Sports,60,2884.57,18,3,0,2025-03-21
C077,Paige Mercado,ljones@yahoo.com,8747925184,81388 Mccullough Camp Apt. 064,Female,Basic,Sports,38,596.87,17,3,0,2025-03-03
C078,Richard Miller,laurendickson@hall.com,+1-262-622-4206x5606,53955 Matthew Stream,Male,Basic,Sports,27,976.69,8,2,0,2025-03-13
C079,Daniel Burns,cferguson@gmail.com,128-190-4608x2268,70710 Phyllis Expressway,Female,Standard,Home,40,1100.76,29,2,1,2025-03-12
C080,Kristy Sanchez,joefarmer@reed.net,001-790-890-6727x58383,0237 Gina Stream,Male,Premium,Electronics,35,1838.37,12,1,1,2025-04-04
C081,Beverly Sanchez MD,christinesmith@rogers.com,263-355-3730,38663 Jordan Common,Female,Premium,Fashion,46,727.23,1,3,0,2025-03-04
C082,Jesse Mitchell,ggarza@hayes.info,+1-844-699-9890x013,70353 Johnson Port,Female,Standard,Sports,22,2580.67,5,0,1,2025-04-04
C083,Carla Williams,opalmer@gmail.com,209-897-9442,312 Garcia Fort Suite 069,Female,Standard,Sports,30,1074.54,6,5,1,2025-03-25
C084,Kendra Hall,sgraham@harris.net,001-911-841-5845,570 Reynolds Circle Suite 948,Male,Premium,Sports,21,507.76,6,0,1,2025-03-15
C085,Stacey Johnson,gchen@giles-lopez.net,448.542.8022,9322 Crawford Parkway,Female,Premium,Electronics,64,1676.87,4,3,0,2025-03-08
C086,Maria Rhodes,danielle79@miller.info,(060)423-9363x45002,5191 Daniel Tunnel,Male,Basic,Fashion,39,2518.93,19,4,1,2025-04-07
C087,Amy Garza,dana17@gmail.com,+1-288-307-9834x7679,7578 Melendez Corner Apt. 137,Female,Standard,Home,60,1094.95,25,5,1,2025-03-14
C088,John Martinez,samuelthomas@hotmail.com,(512)506-4284x1433,6213 Scott Valleys,Female,Basic,Electronics,37,2681.75,14,2,0,2025-04-12
C089,Matthew Hood,raysarah@nelson.com,001-560-118-1493x31327,9318 Wiley Divide,Female,Standard,Electronics,41,2671.8,4,1,0,2025-03-17
C090,Julia Cox,lopezann@gmail.com,935.194.7183x3989,3972 Donna Harbors,Male,Standard,Home,50,2366.8,15,4,1,2025-04-17
C091,Brian Ramirez,jeffrey83@larson-paul.com,191-996-4750x06879,0353 Linda Lodge Suite 089,Female,Standard,Electronics,22,628.37,28,1,0,2025-04-27
C092,Joseph Griffin,johnbarrett@castro.com,451-098-3234,940 Valentine Haven,Male,Standard,Fashion,43,1614.71,13,4,1,2025-04-12
C093,April Davis,ashleyavila@hunt.info,+1-549-051-3123x01998,93863 Timothy Springs Apt. 423,Male,Premium,Sports,53,2173.87,20,2,0,2025-03-10
C094,Samantha Cannon,harrisalicia@lane-delgado.com,(258)707-4227,0834 Dean Gardens Apt. 276,Male,Basic,Sports,29,2405.73,26,0,0,2025-03-27
C095,Melissa Marquez,hamiltonbrandon@yahoo.com,234-679-7299,5705 Gardner Mission,Female,Standard,Electronics,39,109.64,15,5,1,2025-03-16
C096,Kristina Harris,kcampbell@hotmail.com,864-209-1499x2976,61010 Robert Motorway Apt. 103,Female,Basic,Home,50,1619.18,20,4,0,2025-04-05
C097,Angela Steele,dleonard@hotmail.com,567-838-4030x4536,01232 Norman Drive Apt. 556,Female,Premium,Fashion,54,2244.71,1,1,0,2025-03-17
C098,Dana Salazar,dbowen@hernandez.biz,435.477.8831x641,03026 House Brook,Female,Basic,Electronics,29,1238.73,12,2,0,2025-03-23
C099,Erica Jones,karenhess@gmail.com,001-239-542-9251,979 Collins Mount Apt. 904,Female,Standard,Sports,41,623.39,23,2,1,2025-04-04
C100,Melanie Green,marquezcheryl@mckenzie.com,001-301-888-4287,496 Connie Green Suite 121,Male,Premium,Home,39,2690.15,13,3,1,2025-03-09
C101,Andrew Sanders III,nicholsjennifer@hotmail.com,(314)756-4485,971 Dale Divide Suite 952,Male,Basic,Sports,44,2168.77,26,5,0,2025-04-05
C102,Erica Miller,ericaherrera@gmail.com,6019710881,248 Jeremiah Tunnel Apt. 774,Male,Standard,Fashion,34,1645.26,7,4,1,2025-04-18
C103,Colleen Cox,andreayoung@yahoo.com,758.161.8525x429,36193 Graham Expressway,Female,Standard,Fashion,42,2991.61,12,2,0,2025-04-03
C104,Ashley Miller,michael49@yahoo.com,(413)804-9670x4197,98662 Peter Via Suite 932,Male,Standard,Home,50,2040.24,8,1,0,2025-03-12
C105,Elizabeth Meyer,mejiapatricia@kim-terrell.org,540.380.1017,1017 William Run Suite 116,Male,Standard,Sports,18,1897.52,8,3,0,2025-03-26
C106,Brandi Cortez,mreed@gmail.com,971.859.3110,0463 Oneal Points Suite 877,Male,Premium,Sports,22,867.55,14,1,1,2025-03-18
C107,Melinda Edwards,welchkurt@rowland-davis.com,001-739-409-7659x4255,0974 Schultz Brook,Female,Premium,Electronics,49,2847.04,24,2,1,2025-04-08
C108,Robin Rush,fprice@lopez-white.org,+1-427-952-7018x9151,2698 Vega Squares Apt. 299,Female,Standard,Fashion,19,407.52,23,1,0,2025-04-19
C109,Cynthia Taylor,ujenkins@moore.com,(804)061-7542,0726 Harrison Tunnel,Male,Premium,Electronics,65,1460.92,19,0,1,2025-03-25
C110,Gary Gallegos,gina49@martin.com,723-830-4521x21760,825 Clifford Locks,Female,Basic,Electronics,63,1010.21,18,1,0,2025-04-20
C111,Dawn Conrad,wellsdestiny@hotmail.com,(385)556-1071x7544,987 Laura Village,Male,Premium,Electronics,28,2884.75,17,4,0,2025-04-15
C112,Heidi Hamilton,pottsmary@gmail.com,512.158.4137,05674 Rodriguez Camp Apt. 529,Female,Basic,Fashion,53,1890.24,23,1,1,2025-03-11
C113,Kelsey Brown,qroy@gmail.com,186-090-3499,3504 John Loop,Female,Premium,Fashion,56,1157.5,21,2,1,2025-04-21
C114,Diana Zavala,alan44@hotmail.com,+1-493-605-9559x13815,2672 Cody Spur Apt. 697,Male,Standard,Electronics,33,1110.03,20,1,0,2025-04-14
C115,John Buchanan,bwoods@yahoo.com,(659)537-1563,41294 David Mill,Male,Basic,Sports,47,328.68,10,3,1,2025-04-19
C116,James Mendez,victoria64@hotmail.com,8122081547,9641 Dana Ridge,Male,Standard,Electronics,60,2975.5,2,4,1,2025-03-29
C117,Andrew Keller,bobby37@wilson.info,+1-077-708-3305x8221,9570 Elizabeth Shores,Male,Premium,Home,65,434.74,1,2,1,2025-04-11
C118,Chad Hill,gregoryrichardson@tucker.org,+1-916-021-0302x47266,52758 Byrd Key,Male,Premium,Electronics,28,2772.28,28,3,1,2025-04-23
C119,Mary Jenkins,vasquezchristopher@hotmail.com,362.307.3102x57615,96894 Thomas Roads,Female,Premium,Fashion,40,2048.66,8,3,0,2025-03-30
C120,Gregory Harris PhD,erin75@baker-mcknight.biz,(899)037-7836,5472 Monica River,Male,Standard,Sports,36,833.65,24,5,0,2025-03-25
C121,Joshua Rodriguez,christopher92@hotmail.com,001-162-427-5226x1534,95275 Phillip Freeway Suite 422,Male,Premium,Home,27,1357.51,24,1,1,2025-04-02
C122,Lisa Garcia,donnamaddox@gmail.com,758.566.8646,676 Lowe Lake,Female,Premium,Fashion,24,2754.06,6,0,1,2025-03-27
C123,Kelly Andrews,qli@yahoo.com,(114)074-9406x2811,2575 Cox Ridge,Male,Basic,Electronics,43,1983.56,14,3,1,2025-04-26
C124,Kristina Brooks,richardschristine@jensen.com,668-581-4851x7032,7568 Conway Summit,Male,Standard,Home,45,2750.51,2,3,1,2025-04-20
C125,Thomas Bennett,julie00@yahoo.com,(728)420-7067,76123 Hill Dam,Male,Standard,Electronics,34,1230.78,5,4,1,2025-04-21
C126,Robin Anderson,pmartin@yahoo.com,001-863-935-8576x45148,667 Lewis Lights Suite 014,Female,Standard,Home,39,2290.39,23,1,0,2025-03-25
C127,Mallory Davis,michaelli@hotmail.com,(870)322-9167x61900,8615 Alice Terrace,Female,Basic,Electronics,65,2642.91,23,2,0,2025-03-28
C128,James Arnold,wattssheila@hensley.com,641.935.7329,2512 Trujillo Ridge,Male,Premium,Electronics,40,2395.83,6,4,0,2025-03-20
C129,Shane Johnson,sarah39@gmail.com,(999)282-0398x8280,31332 Dodson Fields Suite 471,Male,Premium,Fashion,18,547.43,6,5,1,2025-04-26
C130,Anthony Peterson,victoriaho@gmail.com,078.397.5574x3344,8783 Brown Greens,Male,Premium,Fashion,58,1497.07,23,4,1,2025-04-20
C131,Zachary Gomez,patriciadaniel@horn.org,001-290-751-9362,08815 Roy Burg,Male,Premium,Fashion,48,2689.1,18,3,1,2025-03-22
C132,Melissa Stanton,fchoi@flores.com,068-944-6677x1429,5665 Johnson Square Apt. 971,Female,Premium,Sports,56,2872.0,6,4,0,2025-04-22
C133,George Ellis,chadromero@hernandez.net,040-757-4789x8176,1591 Miller Plains,Male,Basic,Home,58,2924.44,8,3,1,2025-04-28
C134,Lauren Wilson,bmorgan@martin-williams.com,(898)994-1359,1306 Mckinney Gateway Apt. 025,Male,Standard,Fashion,18,2187.27,2,5,0,2025-04-27
C135,William Haynes,burtonmichael@bowman.com,(350)100-5153x16742,581 Amber River Apt. 852,Male,Standard,Fashion,27,1528.06,12,3,1,2025-03-05
C136,Raymond Andrews,jameswhitehead@gmail.com,302.701.9800x08371,57324 Joseph Ville Suite 629,Male,Premium,Fashion,64,981.56,17,4,1,2025-04-28
C137,Curtis Green,rwalls@erickson-pittman.org,(864)563-3619,23835 White Cliffs,Female,Basic,Electronics,39,1385.23,23,1,0,2025-03-21
C138,Miguel Stewart,ghamilton@steele.com,9645883546,4870 Diana Shoal,Female,Standard,Home,63,1452.98,18,0,1,2025-03-09
C139,Christopher Williams,rlloyd@long.biz,495.354.2701,740 Miguel Plaza Apt. 977,Male,Standard,Home,38,422.79,6,4,0,2025-03-15
C140,Monica Mcclure,hamiltoneric@yahoo.com,278-519-5446x325,6548 Tina Island Apt. 656,Male,Standard,Fashion,48,2937.51,20,5,0,2025-03-10
C141,Zachary Rodriguez,tgomez@carroll-chase.com,878.885.3707x63994,833 John Springs Apt. 001,Female,Standard,Fashion,40,2991.47,16,3,1,2025-03-01
C142,Joseph Wade,greyes@hotmail.com,001-278-357-2082x2188,01177 Allen Vista,Female,Standard,Home,58,2665.57,6,5,1,2025-04-09
C143,Michael Hopkins,julie46@werner.com,+1-207-219-5660x7944,8697 Cochran Circle,Female,Standard,Sports,22,2693.64,19,0,0,2025-04-11
C144,Holly Hess,brian22@yahoo.com,001-599-839-9542x12066,3285 Jackson Rue,Male,Standard,Sports,49,2055.31,30,1,0,2025-03-28
C145,Michael Mendoza,conniemorrison@gutierrez.com,026-980-8906,0223 Webb Plaza Apt. 294,Male,Premium,Fashion,56,2265.51,28,3,0,2025-04-05
C146,Stacy Hernandez,torresrussell@yahoo.com,128-730-3831x9699,1695 Anna Ports,Male,Basic,Electronics,46,1950.8,11,3,0,2025-04-22
C147,Alexandra Robinson,herreraryan@hotmail.com,+1-877-428-6548x56876,16032 Estes Wells,Female,Basic,Electronics,32,2656.91,30,2,1,2025-04-02
C148,Christina Garcia,patricia89@morales.com,468-256-9900x40772,4263 Young Spurs Suite 263,Male,Premium,Home,40,228.05,1,1,1,2025-03-10
C149,Jillian Valencia,elizabeth47@yahoo.com,+1-427-647-9757x957,942 Brown Track,Male,Standard,Home,30,1765.23,16,4,1,2025-03-30
C150,Hannah Crane,tiffany64@yahoo.com,001-979-894-0440x446,85889 Victor River Apt. 233,Male,Basic,Electronics,22,2727.58,23,1,0,2025-04-02
C151,Michael Harris DDS,sarah53@bonilla.info,001-687-082-3380x2520,9805 Thomas Road Apt. 293,Male,Standard,Fashion,50,447.74,21,0,1,2025-04-01
C152,Glenda Fields,juancastaneda@gmail.com,6607336691,57720 John Gardens Apt. 596,Male,Premium,Electronics,61,587.46,12,1,1,2025-04-20
C153,Kimberly Miller,valerie03@hotmail.com,001-487-240-7435x92475,1570 Lopez Points Apt. 347,Male,Standard,Electronics,62,963.13,21,2,1,2025-04-14
C154,Tonya Smith,byrdnathan@mason.net,+1-333-168-5573,49200 Ramos Point Apt. 406,Male,Premium,Fashion,46,2393.58,18,1,0,2025-03-24
C155,Connor Miller,john03@morris.biz,(811)925-5141x9823,4577 Osborn Cliff Apt. 153,Female,Standard,Home,37,2894.9,11,4,0,2025-04-01
C156,Nichole Macdonald,jonathan84@castillo.com,648-464-1046,5367 Felicia Overpass Apt. 770,Female,Standard,Electronics,45,1999.87,9,2,1,2025-03-30
C157,Ernest Chambers,hperry@hotmail.com,(796)332-2322x32760,65908 Cynthia Parkways Suite 471,Female,Basic,Sports,22,487.36,24,1,0,2025-03-19
C158,Connie Stanley,juliegarcia@peters-reeves.com,5215750995,28786 Nelson Junction Apt. 228,Male,Premium,Sports,40,568.13,6,1,0,2025-04-02
C159,Jacob Orozco,tchavez@gmail.com,993.962.2745x52717,7470 Shannon Rest,Female,Premium,Fashion,62,824.66,5,4,0,2025-03-23
C160,Dr. Mark Wilson,lance60@gmail.com,566-088-6501x8427,9922 Thomas Glens Apt. 337,Female,Premium,Fashion,33,1576.48,23,0,0,2025-03-07
C161,Kylie Green,uarias@gmail.com,(281)465-5541,6553 Steven Hills Apt. 709,Male,Standard,Home,52,449.26,19,3,1,2025-03-29
C162,Jesse Wiley,tuckerrichard@yahoo.com,324.343.3432,268 Gina Roads,Male,Standard,Sports,22,118.08,2,4,0,2025-04-22
C163,Timothy Wells,caroline05@arnold.com,(765)883-5668x6129,5289 Morales Corner,Male,Standard,Electronics,30,2690.55,9,0,0,2025-04-11
C164,Kelly Watkins,usimpson@gmail.com,971.008.7781,9278 Kelly Plains,Male,Standard,Home,35,2074.46,16,2,0,2025-04-05
C165,Jessica Rodriguez,johnstein@diaz.org,001-801-640-3838x57617,1594 Whitehead Causeway Apt. 644,Female,Basic,Home,47,1653.03,15,0,1,2025-04-16
C166,Daniel Snow,gregorycarroll@gmail.com,(091)037-5239x019,782 Herman Ridges,Male,Premium,Fashion,19,284.69,20,2,1,2025-04-01
C167,Wesley Stanley,fcardenas@torres-brown.com,(100)304-0790x3074,53214 Smith Lakes Suite 591,Male,Premium,Electronics,31,2158.97,4,5,0,2025-04-15
C168,Darryl Carney,rodriguezstacie@hunt.org,(071)823-4140,48580 Brandon Vista Apt. 472,Male,Basic,Fashion,33,2414.67,15,2,0,2025-03-23
C169,Rachel Orozco,tiffanycoleman@sanchez-marshall.info,+1-039-954-1847x10736,92467 Long Keys,Female,Standard,Home,21,1773.1,10,0,1,2025-04-07
C170,Krista Baker,kayla42@boone.biz,799.153.2320,88224 Stephen Plains,Male,Standard,Sports,50,2760.64,8,1,0,2025-04-22
C171,Nancy Salazar,villarrealvirginia@gmail.com,+1-270-513-3237x8406,379 Steven Island Apt. 936,Male,Premium,Sports,42,787.48,15,0,0,2025-04-12
C172,Alicia Barry,josephcole@perry-hall.com,115.174.0281x66622,378 Bennett Expressway,Female,Standard,Fashion,57,985.36,28,5,1,2025-04-18
C173,Lisa Gibson,qjones@wade-scott.info,001-142-354-4155,3417 Michael Alley Apt. 733,Female,Standard,Electronics,23,957.36,23,2,1,2025-04-22
C174,Peter Abbott,liujohn@moreno.biz,443-933-2609,9347 Curry Point,Female,Standard,Home,45,1513.58,5,5,0,2025-04-25
C175,Christina Cain,robinsonjocelyn@gmail.com,955-492-8912x714,8669 Jessica Throughway,Female,Premium,Sports,22,1771.6,17,5,0,2025-03-13
C176,Joshua Taylor,mendozacurtis@hotmail.com,434.803.8705x03378,898 Edwards Turnpike,Female,Basic,Fashion,52,979.22,26,3,1,2025-04-22
C177,Jeffrey Hess,dominguezgabriel@gmail.com,724-000-1303x669,068 Ochoa Station,Male,Standard,Sports,19,885.51,5,3,0,2025-04-11
C178,Stacy Adkins,sarah15@gilbert.net,(003)566-3158x60312,097 Ryan Crescent Suite 034,Female,Basic,Sports,29,2308.78,10,0,0,2025-04-13
C179,John Henderson,lisa39@west.com,508.271.9155,36220 Mark Union,Male,Standard,Fashion,26,1700.54,9,2,0,2025-03-03
